CODE_CLT;C_CHEQUE_MNT;C_CHEQUE_NB;C_DEBLOC_CREDIT_MNT;C_DEBLOC_CREDIT_NB;C_MNT;C_NB;C_VERS_ESPECE_MNT;C_VERS_ESPECE_NB;C_VIREMENT_MNT;C_VIREMENT_NB;D_CHEQUE_MNT;D_CHEQUE_NB;D_MNT;D_NB;D_PMNT_TPE_MNT;D_PMNT_TPE_NB;D_REMB_CREDIT_MNT;D_REMB_CREDIT_NB;D_RET_DAB_MNT;D_RET_DAB_NB;D_RET_ESPECE_MNT;D_RET_ESPECE_NB;D_VIREMENT_MNT;D_VIREMENT_NB
5592;0;0;0;0;711.8353333;1.666666667;0;0;711.8353333;1.666666667;0;0;721.5153333;7;0;0;323.4546667;1;0;0;381.6666667;1.333333333;0;0
5593;0;0;0;0;1139.747667;2.666666667;0;0;1137.995667;2;0;0;1483.307667;9.333333333;0;0;516.2943333;1;350;2.333333333;593.3333333;1.333333333;0;0
5594;0;0;0;0;2057.122333;2;0;0;2057.122333;2;0;0;2060.234333;8.666666667;0;0;305.948;2;0;0;1733.333333;2;2.832;2
5595;0;0;0;0;1329.126333;2;0;0;1329.126333;2;0;0;1264.199;8.666666667;0;0;456.7083333;1;580;3.333333333;200;0.333333333;0;0
5596;0;0;0;0;1382.551;2;0;0;1382.551;2;0;0;1250.410333;10.66666667;0;0;379.545;1;806.6666667;3.666666667;33.33333333;0.333333333;0;0
5597;0;0;0;0;945.1533333;1.666666667;0;0;945.1533333;1.666666667;0;0;941.8836667;3.666666667;0;0;327.324;2;0;0;610;1.333333333;0;0
5598;0;0;0;0;579.8326667;1.333333333;0;0;572.7283333;1;0;0;669.97;5.666666667;0;0;175.8553333;1;0;0;482.3333333;1.333333333;0;0
5599;0;0;2000;0.333333333;2991.434;2.333333333;0;0;911.434;1.333333333;0;0;2913.385667;9.666666667;0;0;353.486;1.333333333;0;0;2506.2;3.333333333;0;0
5600;0;0;16666.66667;0.666666667;17991.19533;3.333333333;0;0;1324.452;2.333333333;0;0;12938.739;14;0;0;6755.814333;2.333333333;1300.19;3.333333333;4000;0.666666667;0;0
5601;0;0;0;0;688.805;1.333333333;0;0;688.805;1.333333333;0;0;678.498;4;0;0;182.0223333;0.666666667;0;0;483.3333333;1.333333333;0;0
5602;0;0;3333.333333;0.333333333;10364.043;3.666666667;0;0;791.683;1.666666667;0;0;10357.76033;11;0;0;131.326;0.666666667;0;0;3860.554667;3;6240.693333;3
5603;0;0;0;0;829.269;2;0;0;829.24;1.333333333;0;0;1024.820333;10.66666667;0;0;198.4853333;1;737.4033333;3.333333333;62.66666667;0.333333333;0;0
5604;0;0;0;0;581.94;2.666666667;0;0;581.939;2.333333333;0;0;226.4893333;7.333333333;0;0;0;0;0;0;0;0;0;0
5605;0;0;0;0;1225.59;2.333333333;0;0;1225.055333;2;0;0;1182.836;6;0;0;331.441;2;0;0;810;1.333333333;30;1
5606;0;0;0;0;584.1693333;1.333333333;0;0;584.1663333;1;0;0;453.7993333;8;0;0;166.634;1;24.07;0.666666667;236.6666667;0.666666667;0;0
5607;0;0;0;0;0.009;0.333333333;0;0;0;0;0;0;0.599;0.666666667;0;0;0;0;0;0;0;0;0;0
5608;0;0;0;0;820.3423333;1.666666667;0;0;820.3333333;1.333333333;0;0;366.1586667;3.666666667;0;0;254.635;1;0;0;100;0.333333333;0;0
5609;0;0;3833.333333;0.333333333;5100.740667;5.333333333;0;0;800.534;1;0;0;4952.520667;13.33333333;0;0;230.803;1;0;0;4110;2;466.0736667;2
5610;0;0;0;0;985.193;2;0;0;985.162;1.333333333;0;0;976.3543333;4.333333333;0;0;0;0;0;0;966.6666667;1;0;0
5611;0;0;0;0;930.414;2;0;0;930.3846667;1.333333333;0;0;909.2973333;10.33333333;0;0;356.6883333;2;542.9933333;6;0;0;0;0
5612;0;0;0;0;0.000666667;0.333333333;0;0;0;0;0;0;0.590666667;0.666666667;0;0;0;0;0;0;0;0;0;0
5613;0;0;0;0;885.264;1;0;0;885.264;1;0;0;879.4673333;4.666666667;0;0;236.95;1;0;0;623.3333333;1;0;0
5614;0;0;0;0;955.815;1.333333333;0;0;955.815;1.333333333;0;0;1219.088667;7;0;0;456.697;1;0;0;740;1;0;0
